Item#,Qty Order,Qty Ship,Qty B/O,U/M,Pack,Description,Customer Item# / UPC,STD Unit Price,Disc. %,Unit Price,EXT
P40 BPHP2160,2,0,2,PL,1,52 PC NOIR TROPICAL I PLANTER PALLET,,1339.92,,1339.92,
P40 BPHP2169,2,0,2,PL,1,96 PC CRAYON POTS PALLET,,973.12,,973.12,
P40 BPPY2139,2,0,2,PL,1,42 PC LAGUNA DRUM & SQ PLANTER PALLET,,1087.03,,1087.03,
H22 440000,1,0,1,PL,1,113 PC MINI SIENNA COLLECTION PALLET,,624.4,,624.4,
H22 91801,1,0,1,PL,1,81PC MERRY MEDALLION COLLCTION PALLET,,2100.69,,2100.69,
H22 440000,1,0,1,PL,1,113 PC MINI SIENNA COLLECTION PALLET,,624.4,,624.4,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,PALLETS NEED TO BE EXPANDED ^ ,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
H22 66300,3,0,3,CS,6,"4"" COBALT TRINITY BLUE POT WITH SAUCER ATTACHED",811421030602,6.81,,6.81,
H22 66800,3,0,3,CS,6,"6"" TRINITY COBALT BLUE POT WITH SAUCER ATTACHED",811421030657,16.62,,16.62,
H22 67000,3,0,3,CS,6,"6"" TRINITY TROPICAL GREEN POT WITH SAUCER ATTACHED",811421030671,16.62,,16.62,
H22 66300,3,0,3,CS,6,"4"" COBALT TRINITY BLUE POT WITH SAUCER ATTACHED",811421030602,6.81,,6.81,
H22 66800,3,0,3,CS,6,"6"" TRINITY COBALT BLUE POT WITH SAUCER ATTACHED",811421030657,16.62,,16.62,
H22 67000,3,0,3,CS,6,"6"" TRINITY TROPICAL GREEN POT WITH SAUCER ATTACHED",811421030671,16.62,,16.62,
A77 82002,1,0,1,CS,5,"Trellis Deco 71""Hx23.5""W Blk",093432820025,171.7,0,6.868,0
A77 82003,1,0,1,CS,5,"Trellis Lattice 71""X23.5""W Blk",093432820032,236.05,0,9.442,0
A77 83266,1,0,1,CS,4,"14"" ROUND METAL WALL PLANTER",093432832660,91.32,0,5.7075,0
A77 83770,1,0,1,CS,8,"Trellis Toppr 24"" Scrll Ivy Pt",093432837702,112.24,0,1.75375,0
