ITEM_NO,PROF_ALPHA_2,DESCR,LST_COST,PRC_1,TAX_CATEG_COD,CATEG_COD,ACCT_COD,ITEM_VEND_NO,PROF_COD_4,PROF_ALPHA_3,PROF_DAT_1,QTY
191386818942,65M27 SFK,ORN-E Pewter Snowflake,6.65,13.99,TX,002,002,Evergreen Ornaments,A,65M27 SFK,09/23/24,
191386818959,65M27SNW,ORN-E Pewter Snowman,6.65,13.99,TX,002,002,Evergreen Ornaments,A,65M27SNW,09/23/24,
191386826152,65M27TRE,ORN-E Pewter Tree of Life,6.65,13.99,TX,002,002,Evergreen Ornaments,A,65M27TRE,09/23/24,
191386832580,65R59 POI,ORN-E Pewter Poinsettia,None,13.99,TX,002,002,Evergreen Ornaments,A,65R59 POI,09/23/24,
191386818904,65M27 ANG,ORN-E Pewter Angel,6.65,None,TX,002,002,Evergreen Ornaments,A,65M27 ANG,09/23/24,
191386818911,65M27 BRI,ORN-E Pewter Bringing Home Tree,6.65,13.99,TX,002,002,Evergreen Ornaments,A,65M27 BRI,09/23/24,
191386811264,65M27 DOV,ORN-E Pewter Dove,6.65,13.99,TX,002,002,Evergreen Ornaments,A,65M27 DOV,09/23/24,
191386811264,65M27 DOG,ORN-E Pewter Dog,6.65,13.99,TX,002,002,Evergreen Ornaments,A,65M27 DOG,09/23/24,
191386811271,65M27 HOL,ORN-E Pewter Holiday Sentiment,6.65,13.99,TX,002,002,Evergreen Ornaments,A,65M27 HOL,09/23/24,
801946399063,65M27 CHR,ORN-E Christmas Tree w/ Presents,5.7,13.99,TX,002,002,Evergreen Ornaments,A,65M27 CHR,09/23/24,
808412806131,3OTW096,ORN-E White Wood Ornament,0.35,0.99,TX,002,002,Evergreen Ornaments,A,3OTW096,09/23/24,
808412064135,P3609,ORN-E Metal Star/Tree Ornaments,1.19,2.99,TX,002,002,Evergreen Ornaments,A,P3609,09/23/24,
801946031666,P4220,ORN-E Wood Trees/Stars Ornaments,0.95,1.99,TX,002,002,Evergreen Ornaments,A,P4220,09/23/24,
801946387855,3OT828,ORN-E Paper Snowflake S,0.47,2.99,TX,002,002,Evergreen Ornaments,A,3OT828,09/23/24,
801946387856,3OT828,ORN-E Paper Snowflake M,1.39,3.99,TX,002,002,Evergreen Ornaments,A,3OT828,09/23/24,
801946387857,3OT828,ORN-E Paper Snowflake L,3.86,4.99,TX,002,002,Evergreen Ornaments,A,3OT828,09/23/24,
801946387858,3OT828,ORN-E Paper Snowflake XL,4.79,5.99,TX,002,002,Evergreen Ornaments,A,3OT828,09/23/24,
801946388012,3OTF227,"ORN-E Fabric Reindeer 8.75""",5.23,10.99,TX,002,002,Evergreen Ornaments,A,3OTF227,09/23/24,
801946388043,3OTF230,"ORN-E Fabric Nutcracker 11""",5.7,11.99,TX,002,002,Evergreen Ornaments,A,3OTF230,09/23/24,
808412803260,3OTG306,ORN-E Christmas Pickle w/ Box,2.85,5.99,TX,002,002,Evergreen Ornaments,A,3OTG306,09/23/24,
801946388685,3OTM409,ORN-E Metal Snowflake S,4.94,9.99,TX,002,002,Evergreen Ornaments,A,3OTM409,09/23/24,
801946388686,3OTM409,ORN-E Metal Snowflake L,7.41,14.99,TX,002,002,Evergreen Ornaments,A,3OTM409,09/23/24,
808412615030,3OTW053,ORN-E Wood Christmas Tree 3D,2.85,5.99,TX,002,002,Evergreen Ornaments,A,3OTW053,09/23/24,
801946387619,3ORN074,ORN-E Fiber Animal w/ Glitter Asst,4.28,8.99,TX,002,002,Evergreen Ornaments,A,3ORN074,09/23/24,
