ITEM_NO,PROF_ALPHA_2,DESCR,LST_COST,PRC_1,TAX_CATEG_COD,CATEG_COD,ACCT_COD,ITEM_VEND_NO,PROF_COD_4,PROF_ALPHA_3,PROF_DAT_1,QTY
617018020397,TH03505640000,Flocked Frasier Fir Votive,8,15.99,,,,,,TH03505640000,,24
637666050805,TH03535242400,"Frasier Fir Med Poured Candle, Frost Gilded",23,46.99,,,,,,TH03535242400,,8
637666047928,TH03535240010,"Frasier Fir Votive Candle, Gold",8,15.99,,,,,,TH03535240010,,24
637666051079,TH03505242600,Frasier Fir Med Pine Needle Luminary,23,46.99,,,,,,TH03505242600,,12
637666047621,TH03505241900,Frasier Fir Poured Candle Tin,12,24.99,,,,,,TH03505241900,,24
637666049823,TH03505242700,Frasier Fir Poured Candle Pine 3Wick,23,46.99,,,,,,TH03505242700,,8
637666047959,TH03505241520,Frasier Fir Poured Candle Pine,17,34.99,,,,,,TH03505241520,,24
637666047904,TH03505240020,"Frasier Fir Votive Candle, Pine",8,15.99,,,,,,TH03505240020,,36
637666049816,TH03525240000,Frasier Fir Poured Boxed Votive Candle,8,15.99,,,,,,TH03525240000,,12
637666045757,TH03525241310,Frasier Fir Poured Candle Small Pine,14,28.99,,,,,,TH03525241310,,18
637666045771,TH03525242810,Frasier Fir Poured Candle Med 3Wick,24.5,49.99,,,,,,TH03525242810,,4
637666050621,TH03545242500,Frasier Fir Frosted Plaid med poured candle,23,46.99,,,,,,TH03545242500,,8
637666050645,TH03545240100,Frasier Fir Frosted Plaid Votive Candle Plaid 2 oz,8,15.99,,,,,,TH03545240100,,36
617018020380,TH03505641500,Frasier Fir Medium Flocked  Poured Candle,18,36.99,,,,,,TH03505641500,,12
637666001975,TH03545241500,Frasier Fir Frosted Plaid 6.5oz  Candle,18,36.99,,,,,,TH03545241500,,6
637666000534,TH03545240300,Frasier Fir Frosted Plaid Votive Trio,23.5,47.99,,,,,,TH03545240300,,8
None,None,None,None,None,,,,,,None,,None
